Ruoka;kalori_per_100g
3-Olut;34
4-Olut;38
Ahvenfile;86
Amerikansalaatti/jäävuorisalaatti;10
Ananas tuore,kuorittu;56
Ananasmehu, täys;48
Appelsiini, kuorittu;47
Appelsiinitäysmehu;40
Avokado kuoreton, kivetön;198
Balkanmakkara, Pirkka;242
Banaani kuorittu;88
Broilerin fileesuikale marinoitu;180
Broilerin fileesuikale maustamaton;110
Broilerin paistijauheliha;128
Broilerin rintaleike nahkoineen;149
Broilerinfileeleike, Pirkka;100
Cashew-pähkinät;560
CornFlakes maissihiutale;380
Donitsit;325
Etikka;31
Greippi, kuorittu;35
Grillimakkara, tavallinen;220
Hampulilaiskastike;340
Haukifile;84
Herne pakaste;123
Hernekeittopurkki, Pirkka;115
Herne-maissi-paprikasekoitus;69
Herne-maissi-porkkana (Pirkka);69
Hunaja;335
I-Olut;29
Jauheliha nauta, 17% rasvaa;228
Jauheliha poron, Pirkka;145
Jauheliha sika-nauta 22% rasv.;262
Jauheliha, Pirkka kevyt 7% rasv.;140
Jogurtti rusinat;430
Jogurtti, asidofilus 2% rasv;60
Jogurtti, Turkkilainen 10% rasv.;119
Juusto Edam 24% rasvaa;330
Juusto Emmental 29% rasv.;370
Juusto kermainen 31% rasv.;379
Juusto Kevyt 17% rasvaa;298
Juusto Tuorejuusto kevyt;180
Juusto, sinihome;335
Juusto, Sulate kevyt;195
Juustosnacks;550
Kaali (valkokaali, keräkaali);28
Kahvi,juoma;3
Kalapuikot, pakaste;190
Kalkkunafilee;105
Kalkkunanfileeleike, Pirkka;100
Kampelafile;94
Kananmuna, keitetty;143
Kananmunan keltuainen;285
Kananmunan valkuainen;42
Karjalanpaistiliha, Pirkka;156
Karpalo;33
Karviainen;29
Kasvisrasvasekoite 4% rasv.;60
Katkaravut, pakaste;67
Kaurahiutale;350
Keittokinkku;130
Kerma, kevyt 10% rasvaa;120
Kerma, kuohu 35% rasvaa;340
Kermaviili, 6% rasvaa;80
Kesäkurpitsa, Zucchini;18
Kiinankaali;20
Kiivi;47
Kinkkumakkara;150
Kirjolohifilee;166
Konjakki;229
Kotikalja;27
Kuha;75
Kukkakaali;25
Kurkku;11
Kurpitsa;17
Kääretorttu, kuningatar;330
Lanttu;29
Lauantaimakkara;225
Lehtisalaatti;12
Lehtisalaatti;10
Lehtiselleri;10
Leivontamargariini, 80% rasv.;720
Lenkkimakkara;220
Liköörit;300
Limsa;38
Linssit;320
Lohi graavilohi;180
Lohifilee;195
Luumu kuivattu, Pirkka;165
Luumu, kivetön,tuore;47
Made;70
Maissi pakaste, Pirkka;123
Maito rasvaton;33
Maito, kevyt;46
Maitorahka;62
Majoneesi, kevyt;390
Majoneesi, rasvainen;720
Makaroni, tavallinen;350
Makrillifilee savustettu;290
Maksamakkara, Pirkka;243
Maksapasteija, kevyt, Pirkka;132
Mandariini;36
